assemblyaccession,organism,assembly_size,superkingdom,kingdom,phylum,class,order,family,genus
GCF_000002175.1,Pan troglodytes verus (chimpanzee),12263273,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_001040885.1,Strongyloides ratti (nematodes),43150242,,Metazoa,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides
GCF_000002995.1,Brugia malayi (agent of lymphatic filariasis),95825818,,Metazoa,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia
GCF_000004555.2,Caenorhabditis briggsae (nematodes),108384165,,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis
GCF_000004555.1,Caenorhabditis briggsae (nematodes),108478526,,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis
GCF_000224145.3,Ciona intestinalis (vase tunicate),115227301,,Metazoa,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona
GCF_000224145.2,Ciona intestinalis (vase tunicate),115227500,,Metazoa,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona
GCF_000224145.1,Ciona intestinalis (vase tunicate),115227500,,Metazoa,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona
GCF_000754195.1,Drosophila simulans (flies),124948802,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000754195.2,Drosophila simulans (flies),124963774,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_001277935.1,Drosophila busckii (flies),135748557,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000269505.1,Drosophila miranda (flies),136728780,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000259055.1,Drosophila simulans (flies),137843219,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001215.2,Drosophila melanogaster (fruit fly),139485381,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001215.3,Drosophila melanogaster (fruit fly),143725995,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001215.4,Drosophila melanogaster (fruit fly),143726002,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001765.3,Drosophila pseudoobscura pseudoobscura (flies),152696384,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001765.2,Drosophila pseudoobscura pseudoobscura (flies),152738921,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000001765.1,Drosophila pseudoobscura pseudoobscura (flies),152738921,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000002135.1,Homo sapiens (human),157953789,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000002135.2,Homo sapiens (human),158329839,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000005975.1,Drosophila yakuba (flies),165693946,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000005975.2,Drosophila yakuba (flies),165709965,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila
GCF_000002335.3,Tribolium castaneum (red flour beetle),165944485,,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium
GCF_000002335.1,Tribolium castaneum (red flour beetle),210248733,,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium
GCF_000002335.2,Tribolium castaneum (red flour beetle),210264614,,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium
GCF_000005575.1,Anopheles gambiae str. PEST (African malaria mosquito),239326343,,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles
GCF_000214255.1,Bombus terrestris (buff-tailed bumblebee),248654244,,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
GCF_000002195.4,Apis mellifera (honey bee),250287000,,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
GCF_000002195.1,Apis mellifera (honey bee),250428044,,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
GCF_000005575.2,Anopheles gambiae str. PEST (African malaria mosquito),265027044,,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles
GCF_000002195.2,Apis mellifera (honey bee),267487995,,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
GCF_000002195.3,Apis mellifera (honey bee),267504338,,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
GCF_000002325.3,Nasonia vitripennis (jewel wasp),295780872,,Metazoa,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Nasonia
GCF_000002325.2,Nasonia vitripennis (jewel wasp),297648377,,Metazoa,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Nasonia
GCF_000237925.1,Schistosoma mansoni (flatworms),364532842,,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma
GCF_000180615.1,Takifugu rubripes (torafugu),391484715,,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu
GCF_002706865.1,Spodoptera litura (moths),438956275,,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera
GCF_003073045.1,Pomacea canaliculata (gastropods),440159624,,Metazoa,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea
GCF_000523025.1,Cynoglossus semilaevis (tongue sole),470199494,,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Cynoglossus
GCF_002022765.2,Crassostrea virginica (eastern oyster),684741128,,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
GCF_002775205.1,Xiphophorus maculatus (southern platyfish),704321165,,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Xiphophorus
GCF_000633615.1,Poecilia reticulata (guppy),731622281,,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia
GCF_002234675.1,Oryzias latipes (Japanese medaka),734057086,,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
GCF_001660625.1,Ictalurus punctatus (channel catfish),783274721,,Metazoa,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ictalurus
GCF_000003025.2,Sus scrofa (pig),813033904,,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
GCF_000313675.1,Oryzias latipes (Japanese medaka),869818208,,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias
GCF_000721915.1,Esox lucius (northern pike),877830608,,Metazoa,Chordata,Actinopteri,Esociformes,Esocidae,Esox
GCF_000721915.2,Esox lucius (northern pike),904452945,,Metazoa,Chordata,Actinopteri,Esociformes,Esocidae,Esox
GCF_000721915.3,Esox lucius (northern pike),904497253,,Metazoa,Chordata,Actinopteri,Esociformes,Esocidae,Esox
GCF_001577835.1,Coturnix japonica (Japanese quail),927656957,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Coturnix
GCF_000188235.2,Oreochromis niloticus (Nile tilapia),927696114,,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
GCF_000242695.1,Lepisosteus oculatus (spotted gar),945878036,,Metazoa,Chordata,Actinopteri,Semionotiformes,Lepisosteidae,Lepisosteus
GCF_000238955.4,Maylandia zebra (zebra mbuna),957485262,,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Maylandia
GCF_001858045.2,Oreochromis niloticus (Nile tilapia),1005681550,,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
GCF_001858045.1,Oreochromis niloticus (Nile tilapia),1009856516,,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
GCF_001522545.1,Parus major (Great Tit),1020309133,,Metazoa,Chordata,Aves,Passeriformes,Paridae,Parus
GCF_001522545.2,Parus major (Great Tit),1020310768,,Metazoa,Chordata,Aves,Passeriformes,Paridae,Parus
GCF_002078875.1,Numida meleagris (helmeted guineafowl),1043264150,,Metazoa,Chordata,Aves,Galliformes,Numididae,Numida
